Year,URN,Rationalised_School_Type,Yr_Group,Pupils,Actual/Projection/Historic,Phase
201920,150202,02 - Mainstream - Primary,EY 1,19.0,Historic,Early Years
202021,150202,02 - Mainstream - Primary,EY 1,7.0,Historic,Early Years
202122,150202,02 - Mainstream - Primary,EY 1,3.0,Historic,Early Years
202223,150202,02 - Mainstream - Primary,EY 1,9.0,Historic,Early Years
202324,150202,02 - Mainstream - Primary,EY 1,3.0,Actual,Early Years
202425,150202,02 - Mainstream - Primary,EY 1,3.0,Projections,Early Years
202526,150202,02 - Mainstream - Primary,EY 1,3.0,Projections,Early Years
202627,150202,02 - Mainstream - Primary,EY 1,3.0,Projections,Early Years
202728,150202,02 - Mainstream - Primary,EY 1,3.0,Projections,Early Years
202021,100225,02 - Mainstream - Primary,EY 1,3.0,Historic,Early Years
202122,100225,02 - Mainstream - Primary,EY 1,4.0,Historic,Early Years
202223,100225,02 - Mainstream - Primary,EY 1,14.0,Historic,Early Years
202324,100225,02 - Mainstream - Primary,EY 1,17.0,Actual,Early Years
202425,100225,02 - Mainstream - Primary,EY 1,16.0,Projections,Early Years
202526,100225,02 - Mainstream - Primary,EY 1,16.0,Projections,Early Years
202627,100225,02 - Mainstream - Primary,EY 1,15.0,Projections,Early Years
202728,100225,02 - Mainstream - Primary,EY 1,16.0,Projections,Early Years
201920,100397,02 - Mainstream - Primary,EY 1,12.0,Historic,Early Years
201920,100434,02 - Mainstream - Primary,EY 1,5.0,Historic,Early Years
202122,100397,02 - Mainstream - Primary,EY 1,6.0,Historic,Early Years
202122,100434,02 - Mainstream - Primary,EY 1,4.0,Historic,Early Years
202223,100397,02 - Mainstream - Primary,EY 1,4.0,Historic,Early Years
202223,100434,02 - Mainstream - Primary,EY 1,9.0,Historic,Early Years
202324,100397,02 - Mainstream - Primary,EY 1,4.0,Actual,Early Years
202425,100397,02 - Mainstream - Primary,EY 1,4.0,Projections,Early Years
202526,100397,02 - Mainstream - Primary,EY 1,4.0,Projections,Early Years
202627,100397,02 - Mainstream - Primary,EY 1,4.0,Projections,Early Years
202728,100397,02 - Mainstream - Primary,EY 1,4.0,Projections,Early Years
201920,100225,02 - Mainstream - Primary,EY 2,10.0,Historic,Early Years
202021,100225,02 - Mainstream - Primary,EY 2,14.0,Historic,Early Years
202122,100225,02 - Mainstream - Primary,EY 2,18.0,Historic,Early Years
202223,100225,02 - Mainstream - Primary,EY 2,13.0,Historic,Early Years
202324,100225,02 - Mainstream - Primary,EY 2,27.0,Actual,Early Years
202425,100225,02 - Mainstream - Primary,EY 2,25.0,Projections,Early Years
202526,100225,02 - Mainstream - Primary,EY 2,24.0,Projections,Early Years
202627,100225,02 - Mainstream - Primary,EY 2,23.0,Projections,Early Years
202728,100225,02 - Mainstream - Primary,EY 2,23.0,Projections,Early Years
201920,100397,02 - Mainstream - Primary,EY 2,24.0,Historic,Early Years
202021,100397,02 - Mainstream - Primary,EY 2,31.0,Historic,Early Years
202122,100397,02 - Mainstream - Primary,EY 2,23.0,Historic,Early Years
202223,100397,02 - Mainstream - Primary,EY 2,14.0,Historic,Early Years
202324,100397,02 - Mainstream - Primary,EY 2,10.0,Actual,Early Years
202425,100397,02 - Mainstream - Primary,EY 2,9.0,Projections,Early Years
202526,100397,02 - Mainstream - Primary,EY 2,9.0,Projections,Early Years
202627,100397,02 - Mainstream - Primary,EY 2,8.0,Projections,Early Years
202728,100397,02 - Mainstream - Primary,EY 2,8.0,Projections,Early Years
201920,100434,02 - Mainstream - Primary,EY 2,15.0,Historic,Early Years
202021,100434,02 - Mainstream - Primary,EY 2,4.0,Historic,Early Years
