Year,URN,Rationalised_School_Type,Yr_Group,Pupils,Actual/Projection/Historic,Phase
202122,100225,02 - Mainstream - Primary,EY 1,4.0,Historic,Early Years
202021,100225,02 - Mainstream - Primary,EY 1,3.0,Historic,Early Years
202324,100225,02 - Mainstream - Primary,EY 1,17.0,Actual,Early Years
202223,100225,02 - Mainstream - Primary,EY 1,14.0,Historic,Early Years
202425,100225,02 - Mainstream - Primary,EY 1,16.0,Projections,Early Years
202526,100225,02 - Mainstream - Primary,EY 1,16.0,Projections,Early Years
202627,100225,02 - Mainstream - Primary,EY 1,15.0,Projections,Early Years
202728,100225,02 - Mainstream - Primary,EY 1,16.0,Projections,Early Years
202324,100225,02 - Mainstream - Primary,EY 2,27.0,Actual,Early Years
202425,100225,02 - Mainstream - Primary,EY 2,25.0,Projections,Early Years
202526,100225,02 - Mainstream - Primary,EY 2,24.0,Projections,Early Years
202627,100225,02 - Mainstream - Primary,EY 2,23.0,Projections,Early Years
202728,100225,02 - Mainstream - Primary,EY 2,23.0,Projections,Early Years
202122,100225,02 - Mainstream - Primary,EY 2,18.0,Historic,Early Years
202223,100225,02 - Mainstream - Primary,EY 2,13.0,Historic,Early Years
202021,100225,02 - Mainstream - Primary,EY 2,14.0,Historic,Early Years
201920,100225,02 - Mainstream - Primary,EY 2,10.0,Historic,Early Years
201920,100225,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202728,100225,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202627,100225,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202324,100225,02 - Mainstream - Primary,N 1,8.0,Actual,Early Years
202425,100225,02 - Mainstream - Primary,N 1,7.0,Projections,Early Years
202526,100225,02 - Mainstream - Primary,N 1,7.0,Projections,Early Years
202021,100225,02 - Mainstream - Primary,N 1,12.0,Historic,Early Years
202223,100225,02 - Mainstream - Primary,N 1,12.0,Historic,Early Years
202122,100225,02 - Mainstream - Primary,N 1,13.0,Historic,Early Years
202324,100225,02 - Mainstream - Primary,N 2,42.0,Actual,Early Years
201920,100225,02 - Mainstream - Primary,N 2,34.0,Historic,Early Years
202021,100225,02 - Mainstream - Primary,N 2,31.0,Historic,Early Years
202122,100225,02 - Mainstream - Primary,N 2,38.0,Historic,Early Years
202223,100225,02 - Mainstream - Primary,N 2,34.0,Historic,Early Years
202728,100225,02 - Mainstream - Primary,N 2,31.0,Projections,Early Years
202627,100225,02 - Mainstream - Primary,N 2,33.0,Projections,Early Years
202526,100225,02 - Mainstream - Primary,N 2,36.0,Projections,Early Years
202425,100225,02 - Mainstream - Primary,N 2,39.0,Projections,Early Years
201920,100225,02 - Mainstream - Primary,Yr 01,17.0,Historic,Infant
202021,100225,02 - Mainstream - Primary,Yr 01,25.0,Historic,Infant
202122,100225,02 - Mainstream - Primary,Yr 01,25.0,Historic,Infant
202223,100225,02 - Mainstream - Primary,Yr 01,25.0,Historic,Infant
